"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.406735750E0,-5.343288574E0,-1.055305481E-1,1.023796005E1,1.154892616E1
1.416795750E0,-4.101620636E0,5.575904846E-1,9.921218719E0,1.075010604E1
1.426856750E0,-1.872007141E0,4.194277954E-1,1.005474106E1,1.023611978E1
1.436917750E0,-2.196232910E0,-4.810995483E-1,9.874515839E0,1.012723846E1
1.446978750E0,-3.466641083E0,-4.607418823E-1,9.347312164E0,9.980086582E0
1.457039750E0,-4.311484222E0,-7.490423584E-1,9.449699249E0,1.041377821E1
1.467099750E0,-4.244423676E0,-2.272274780E-1,9.701625366E0,1.059189782E1
1.477160750E0,-4.045786743E0,5.480104065E-1,9.800270233E0,1.061668510E1
1.487221750E0,-3.960164795E0,7.078779602E-1,1.023751099E1,1.099957397E1
1.497282750E0,-5.478607178E0,1.001417542E-1,9.483977966E0,1.095312755E1
1.507343750E0,-2.203268280E0,1.218466187E-1,9.564660187E0,9.815903535E0
1.517403750E0,-2.329904938E0,-7.241940308E-1,9.949060822E0,1.024386281E1
1.527464750E0,-2.472707977E0,-1.061293030E-1,9.580527191E0,9.895051765E0
1.537525750E0,-2.314337311E0,1.384620667E-1,9.849817200E0,1.011900330E1
1.547586750E0,-4.904550934E0,-4.474195862E-1,1.001178040E1,1.115753337E1
1.557647750E0,-3.767814789E0,8.921447754E-2,9.678872681E0,1.038676869E1
1.567707750E0,-3.783232727E0,-7.206015015E-1,9.829160156E0,1.055672799E1
1.577768750E0,-3.636687469E0,-7.324269104E-1,9.776170349E0,1.045635939E1
1.587829750E0,-3.246149597E0,-5.980064392E-1,9.856104126E0,1.039412755E1
1.597890750E0,-2.477348328E0,3.567082214E-1,9.698930969E0,1.001667397E1
1.607951750E0,-3.877237244E0,-4.064048767E-1,9.763746185E0,1.051327129E1
1.618011750E0,-3.047362976E0,9.924362183E-2,9.729766846E0,1.019630488E1
1.628072750E0,-2.188748474E0,1.469943237E-1,9.743388519E0,9.987284268E0
1.638133750E0,-2.934797058E0,-4.460723877E-1,9.758656769E0,1.020016648E1
1.648194750E0,-3.004552002E0,-1.902543640E-1,9.752968597E0,1.020705275E1
1.658255750E0,-2.805915070E0,-2.841091919E-1,9.818232880E0,1.021526183E1
1.668315750E0,-2.803819427E0,-3.626957703E-1,9.838740234E0,1.023688239E1
1.678376750E0,-1.644929352E0,-3.179388428E-1,9.815987549E0,9.957935993E0
1.688437750E0,4.845423889E-1,7.424560547E-2,9.801318054E0,9.813568634E0
1.698498750E0,1.977388000E-1,-5.523513794E-2,9.794582062E0,9.796733605E0
1.708559750E0,2.436932373E-1,-8.113128662E-2,9.809700623E0,9.813062467E0
1.718619750E0,2.354603577E-1,-5.807922363E-2,9.787397003E0,9.790401160E0
1.728680750E0,1.936972046E-1,3.592529297E-3,9.792785797E0,9.794701893E0
1.738741750E0,1.829196167E-1,6.676116943E-2,9.784253540E0,9.786190984E0
1.748802750E0,1.416055298E-1,1.317260742E-1,9.789193268E0,9.791103550E0
1.758863750E0,1.386117554E-1,1.478924561E-1,9.797126770E0,9.799223354E0
1.768925333E0,1.833686829E-1,1.297801208E-1,9.790690155E0,9.793267109E0
1.778985333E0,2.143542480E-1,9.639953613E-2,9.791737976E0,9.794558347E0
1.789046333E0,2.493814087E-1,5.912704468E-2,9.801617432E0,9.804967688E0
1.799107333E0,2.701881409E-1,4.595443726E-2,9.801318054E0,9.805149109E0
1.809168333E0,2.588117981E-1,4.415817261E-2,9.804611206E0,9.808125937E0
1.819229333E0,2.339634705E-1,7.394622803E-2,9.790690155E0,9.793764376E0
1.829289333E0,2.092648315E-1,7.439529419E-2,9.798773346E0,9.801289992E0
1.839350333E0,1.863624573E-1,1.083746338E-1,9.807006226E0,9.809375471E0
1.849411333E0,1.752854919E-1,8.966354370E-2,9.791139221E0,9.793118594E0
1.859472333E0,1.817221069E-1,7.020401001E-2,9.798473969E0,9.800410381E0
1.869533333E0,1.779798889E-1,6.242019653E-2,9.793384552E0,9.795200565E0
1.879593333E0,1.646575928E-1,4.206253052E-2,9.809401245E0,9.810873262E0
1.889654333E0,1.850152588E-1,2.604583740E-2,9.807305603E0,9.809085188E0
1.899715333E0,1.799258423E-1,3.128494263E-2,9.799821167E0,9.801522686E0
1.909776333E0,1.713935852E-1,3.113525391E-2,9.796528015E0,9.798076664E0
1.919837333E0,1.751358032E-1,3.053649902E-2,9.801916809E0,9.803528863E0
1.929897333E0,1.731898499E-1,3.742218018E-2,9.795480194E0,9.797082595E0
1.939958333E0,1.929487610E-1,5.209167480E-2,9.801467743E0,9.803505122E0
1.950019333E0,2.043251038E-1,4.685256958E-2,9.792037354E0,9.794280956E0
1.960080333E0,1.999841309E-1,4.939727783E-2,9.797276459E0,9.799441808E0
1.970141333E0,2.040257263E-1,8.951385498E-2,9.787546692E0,9.790082200E0
1.980201333E0,2.005828857E-1,8.652008057E-2,9.808503113E0,9.810935355E0
1.990262333E0,1.827699280E-1,9.325607300E-2,9.803413696E0,9.805560751E0
2.000323333E0,2.013313293E-1,5.388793945E-2,9.803114319E0,9.805329600E0
2.010384333E0,2.308200073E-1,1.122665405E-2,9.797575836E0,9.800300821E0
2.020445333E0,2.408491516E-1,-1.706451416E-2,9.787247314E0,9.790225202E0
2.030505333E0,2.444416809E-1,-4.864883423E-2,9.799372101E0,9.802541100E0
2.040566333E0,2.294728088E-1,-2.859054565E-2,9.800719299E0,9.803447045E0
2.050627333E0,2.040257263E-1,5.119354248E-2,9.787097626E0,9.789357855E0
2.060688333E0,1.856140137E-1,9.505233765E-2,9.793085175E0,9.795305240E0
2.070749333E0,1.335223389E-1,1.558259583E-1,9.792187042E0,9.794336987E0
2.080809333E0,1.273851013E-1,1.815724182E-1,9.793833618E0,9.796344851E0
2.090870333E0,1.544787598E-1,1.416055298E-1,9.796078949E0,9.798320192E0
2.100931333E0,1.872605896E-1,7.259902954E-2,9.795180817E0,9.797239631E0
2.110992333E0,2.185455322E-1,4.340972900E-3,9.801168365E0,9.803605578E0
2.121053333E0,2.387535095E-1,-4.565505981E-2,9.803114319E0,9.806127573E0
