"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.476598917E0,7.567000547E-3,-2.460455356E-2,6.853521466E-3,2.663858686E-2
1.486660917E0,-3.612848371E-4,-6.377265751E-3,-9.314614534E-3,1.129433881E-2
1.496722917E0,8.608599789E-3,3.007515371E-2,1.104305148E-2,3.317486770E-2
1.506784917E0,6.740615387E-3,1.502151528E-2,3.413019776E-3,1.681459251E-2
1.516845917E0,3.064120986E-2,-2.322749773E-2,-1.783517718E-2,4.238506739E-2
1.526907917E0,2.655571461E-2,-2.530866796E-2,5.817979574E-3,3.714274544E-2
1.536969917E0,-2.483148035E-4,-2.324133005E-2,-6.203895807E-4,2.325093473E-2
1.547031917E0,-3.682850506E-2,8.942987435E-3,1.793750346E-2,4.192934342E-2
1.557093917E0,-3.079892937E-2,3.817276167E-2,8.355086446E-3,4.975481136E-2
1.567155917E0,-5.622048514E-2,4.312838657E-2,4.759048820E-3,7.101724595E-2
1.577217917E0,-2.474854125E-2,2.771434039E-3,1.239609718E-2,2.781787853E-2
1.587279917E0,2.757799063E-2,-3.280218545E-2,5.363066196E-3,4.318901963E-2
1.597341917E0,3.768169605E-2,-3.284446813E-2,2.122890115E-2,5.430778534E-2
1.607403917E0,3.761321967E-2,1.466518231E-3,2.077749610E-2,4.299545690E-2
1.617465917E0,1.535307068E-2,1.263557721E-2,-7.965077162E-3,2.142001506E-2
1.627527917E0,9.379463810E-3,-2.114809994E-3,-7.965077162E-3,1.248556033E-2
1.637589917E0,-3.127136612E-3,-7.007942777E-3,-1.524953842E-3,7.824048158E-3
1.647651917E0,-1.331973799E-2,-3.054839445E-2,1.509107888E-2,3.658360952E-2
1.657713917E0,-1.916401176E-2,-1.374243686E-2,-6.466435790E-3,2.445258083E-2
1.667775917E0,-3.826714852E-2,-4.843321815E-4,-2.273982167E-3,3.833771287E-2
1.677837917E0,-2.553806154E-2,1.795542883E-2,3.713566661E-3,3.143852078E-2
1.687899917E0,4.602672346E-3,2.170040600E-2,-1.965249181E-3,2.227003407E-2
