"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.108636250E-1,1.077587466E0,9.014949118E-1,2.379115105E-2,1.405152604E0
9.209246250E-1,1.304504895E0,6.683082439E-1,1.927943945E-2,1.465858324E0
9.309856250E-1,1.304294103E0,4.509351515E-1,-6.256520748E-2,1.381463001E0
9.410466250E-1,6.672919247E-1,7.290782831E-1,2.440686285E-2,9.886502671E-1
9.511086250E-1,3.807693311E-1,1.215841152E0,-6.001406729E-2,1.275482920E0
9.611696250E-1,4.237574393E-1,1.145761980E0,6.213894546E-2,1.223193415E0
9.712306250E-1,8.613916370E-1,7.822703308E-1,-8.485479355E-3,1.163621255E0
9.812916250E-1,1.150550704E0,6.044359279E-1,-2.050618529E-3,1.299659154E0
9.913526250E-1,1.218216510E0,5.209677285E-1,1.337842941E-2,1.325004839E0
1.001414625E0,9.802967408E-1,7.726617475E-1,-7.845209241E-3,1.248218500E0
1.011475625E0,5.230857727E-1,7.478960118E-1,-5.153501987E-2,9.141241865E-1
1.021536625E0,3.228631485E-1,9.197091347E-1,2.093829453E-2,9.749584182E-1
1.031597625E0,5.390205500E-2,1.191779787E0,-9.970964491E-2,1.197157677E0
1.041658625E0,1.625097460E-1,1.310722093E0,-4.330623329E-2,1.321467840E0
1.051720625E0,2.692461910E-1,1.200900493E0,-5.335058033E-2,1.231869226E0
1.061781625E0,3.652302459E-1,1.386848163E0,-1.850643754E-2,1.434253621E0
1.071842625E0,7.784310490E-1,1.536006980E0,-9.682579815E-2,1.724716665E0
1.081903625E0,1.014934331E0,1.166295428E0,8.144411266E-2,1.548215058E0
1.091964625E0,9.967933441E-1,1.331717398E0,-1.583133638E-2,1.663526023E0
1.102026625E0,6.219798041E-1,1.433301807E0,6.566423178E-4,1.562438279E0
1.112087625E0,6.454494314E-1,1.440291861E0,-6.040349185E-2,1.579460096E0
1.122148625E0,3.402548875E-1,1.496007055E0,4.868391752E-3,1.534221039E0
1.132209625E0,2.668554838E-1,1.607448553E0,-4.411724210E-3,1.629454560E0
1.142270625E0,-1.204887764E-1,1.536264111E0,-6.742132008E-2,1.542456028E0
1.152332625E0,1.995433422E-1,1.556655837E0,-2.067867815E-2,1.569529404E0
1.162393625E0,6.676518026E-2,1.280541397E0,1.376259148E-2,1.282354580E0
1.172454625E0,3.091136036E-1,1.468680970E0,-6.212608159E-2,1.502143356E0
1.182515625E0,5.655576814E-1,1.222615517E0,-1.110678613E-2,1.347133087E0
1.192576625E0,-7.023601895E-2,1.060024257E0,-6.364051044E-2,1.064253090E0
1.202638625E0,2.424039537E-2,1.549378831E0,6.332359135E-2,1.550861772E0
1.212699625E0,-2.710980955E-1,1.426611422E0,5.419199467E-3,1.452151403E0
1.222760625E0,-6.696244521E-1,1.299998154E0,-1.123834848E-1,1.466636340E0
1.232821625E0,-3.497376460E-1,1.379359927E0,-6.195300400E-2,1.424355434E0
1.242882625E0,-1.687010155E-1,1.226070417E0,-1.050276875E-2,1.237666760E0
1.252944625E0,-4.129019738E-1,1.156491986E0,-2.817013085E-2,1.228314011E0
1.263005625E0,-1.778690476E-1,1.237014285E0,-6.756106853E-2,1.251561520E0
1.273066625E0,6.457801097E-2,1.333447297E0,7.599801600E-2,1.337171534E0
1.283127625E0,-9.494462097E-2,1.368168941E0,-6.409951687E-2,1.372956474E0
1.293188625E0,-9.769125916E-2,1.321174868E0,-2.788478673E-2,1.325075159E0
1.303250625E0,-2.429462555E-1,1.198125770E0,4.129362166E-2,1.223206200E0
1.313311625E0,-4.115723535E-1,1.154826115E0,-7.562145531E-2,1.228305240E0
1.323372625E0,-7.554332189E-1,9.290227260E-1,6.381651163E-3,1.197415258E0
1.333433625E0,-7.612850393E-1,1.012151348E0,-9.721756160E-2,1.270219082E0
1.343494625E0,-7.324598010E-1,1.122250692E0,1.500512481E-2,1.340212345E0
1.353556625E0,-7.716946180E-1,1.146311472E0,-1.413500065E-1,1.389072496E0
1.363617625E0,-7.689294697E-1,1.176424852E0,3.712981939E-4,1.405428084E0
1.373678625E0,-4.013533940E-1,1.044411314E0,6.799610138E-2,1.120938451E0
1.383739625E0,-3.878220965E-1,9.090401588E-1,7.973263264E-3,9.883438480E-1
1.393800625E0,-4.177340032E-1,8.353612217E-1,9.391739309E-2,9.386961941E-1
1.403862625E0,-3.581016860E-1,7.943766984E-1,-1.264343441E-2,8.714533912E-1
1.413923625E0,-4.276802998E-1,7.367054643E-1,-3.715203881E-2,8.526579935E-1
1.423984625E0,-7.253390618E-1,4.781252159E-1,-1.254929423E-1,8.777636101E-1
1.434045625E0,-8.809218489E-1,6.552715842E-1,4.093928039E-2,1.098672006E0
1.444106625E0,-8.701244536E-1,7.309423023E-1,-7.442336082E-3,1.136419202E0
1.454168625E0,-1.001883272E0,7.576658320E-1,-7.200612187E-2,1.258178241E0
1.464229625E0,-9.727894275E-1,7.493609586E-1,5.089533448E-2,1.229004252E0
1.474290625E0,-9.021821789E-1,7.705269291E-1,5.315002084E-2,1.187631827E0
1.484351625E0,-7.032640685E-1,8.466274175E-1,1.063316166E-2,1.100668614E0
1.494412625E0,-5.638710155E-1,6.605521316E-1,1.226395011E-2,8.685793258E-1
1.504474625E0,-7.811749280E-1,5.561743255E-1,-4.059137106E-2,9.597977954E-1
1.514535625E0,-9.249407116E-1,5.825838963E-1,-4.869736612E-2,1.094207818E0
1.524596625E0,-1.035204727E0,7.284559932E-1,-2.055237830E-2,1.265985530E0
1.534657625E0,-1.090412018E0,9.416108311E-1,-2.202880025E-2,1.440872858E0
1.544719625E0,-1.202003497E0,5.635308903E-1,-3.635213971E-3,1.327551387E0
1.554780625E0,-1.090780831E0,7.398738512E-1,1.448583359E-1,1.325971370E0
1.564841625E0,-1.294761680E0,1.088299053E0,-4.404999912E-2,1.691964254E0
1.574902625E0,-1.265151526E0,1.094651761E0,8.504775167E-3,1.673004241E0
1.584963625E0,-1.446846005E0,1.043450544E0,-1.204526424E-3,1.783859257E0
1.595025625E0,-1.330401628E0,8.611385988E-1,-1.723525286E-2,1.584873886E0
1.605086625E0,-1.144801063E0,9.902197581E-1,-8.789066792E-2,1.516189109E0
