"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.581062500E-1,-9.475296021E-1,-2.716850281E-1,9.570797424E0,9.621423410E0
9.681672500E-1,-5.056484985E-1,-1.803749084E-1,9.876461792E0,9.891042060E0
9.782282500E-1,2.441423035E-1,2.559677124E-2,1.011057495E1,1.011355459E1
9.882882500E-1,6.483018494E-1,-2.380050659E-2,9.801018677E0,9.822465518E0
9.983492500E-1,2.538720703E-1,-3.266207886E-1,1.019978943E1,1.020817499E1
1.008410250E0,-1.660047913E-1,-4.595443726E-2,9.512418823E0,9.513978204E0
1.018471250E0,-7.768844604E-1,1.405577087E-1,9.791588287E0,9.823365366E0
1.028531250E0,-1.037043457E0,4.610412598E-1,9.914782104E0,9.979525157E0
1.038592250E0,-3.094065857E-1,5.031037903E-1,9.928553467E0,9.946105761E0
1.048653250E0,4.381388855E-1,5.176235962E-1,9.843230896E0,9.866564465E0
1.058714250E0,1.185534668E-1,3.761677551E-1,9.963580627E0,9.971383857E0
1.068774250E0,-4.093986511E-1,-1.972897339E-1,9.742191010E0,9.752785046E0
1.078835250E0,-1.476679230E0,-1.015338593E0,9.901609497E0,1.006247309E1
1.088896250E0,-2.229613495E0,-1.406026154E0,9.760303345E0,1.010997563E1
1.098957250E0,-2.830613708E0,-1.502276001E0,9.632169800E0,1.015125126E1
1.109017250E0,-3.350033569E0,-1.041983185E0,1.001716919E1,1.061377089E1
1.119078250E0,-2.740052032E0,-8.201445007E-1,9.754016418E0,1.016471143E1
1.129139250E0,-2.252815247E0,-1.185684357E0,9.893825684E0,1.021610545E1
1.139199250E0,-1.801054688E0,-1.224753113E0,9.686207428E0,9.928062878E0
1.149260250E0,-1.732946320E0,-1.282233582E0,1.010309052E1,1.033052099E1
1.159321250E0,-1.645827484E0,-1.259630585E0,9.465865631E0,9.690099559E0
1.169382250E0,-2.422562256E0,-1.877994690E0,1.015862503E1,1.061100063E1
1.179442250E0,-3.023113403E0,-2.023941193E0,9.775721283E0,1.043073723E1
1.189503250E0,-2.523153076E0,-2.034120026E0,9.843380585E0,1.036320834E1
1.199564250E0,-1.605261841E0,-2.109263763E0,9.898016968E0,1.024678482E1
1.209625250E0,-1.132095795E0,-1.602567444E0,9.678273926E0,9.875163264E0
1.219685250E0,-1.015937347E0,-1.123563538E0,9.945468292E0,1.006016219E1
1.229746250E0,-8.268804932E-1,-6.966513062E-1,9.786199493E0,9.845748063E0
1.239807250E0,-7.173083496E-1,-7.384144592E-1,9.874665527E0,9.928182435E0
1.249868250E0,-1.130598907E0,-1.664538574E0,9.847571869E0,1.005105041E1
1.259928250E0,-1.544188843E0,-2.266287231E0,9.848470001E0,1.022315697E1
1.269989250E0,-1.712438965E0,-1.604513397E0,9.840686188E0,1.011662073E1
1.280050250E0,-1.827998657E0,-7.264393616E-1,9.809550934E0,1.000482797E1
1.290111250E0,-1.335223389E0,-8.690927124E-1,9.968819733E0,1.009532122E1
1.300171250E0,-8.457412720E-1,-1.244512024E0,9.625284119E0,9.742185732E0
1.310232250E0,-3.254232788E-1,-1.280137939E0,9.729916534E0,9.819161330E0
1.320293250E0,8.981323242E-3,-1.653012543E0,9.794282684E0,9.932799426E0
1.330354250E0,-3.879931641E-1,-2.023492126E0,9.822723541E0,1.003648130E1
1.340414250E0,-9.292675781E-1,-1.971999207E0,9.833052063E0,1.007180381E1
1.350475250E0,-1.084345093E0,-1.531614990E0,9.810449066E0,9.988321162E0
1.360536250E0,-1.197509766E0,-1.073417816E0,9.827513580E0,9.958226680E0
1.370597250E0,-8.084687805E-1,-1.221160583E0,9.857451324E0,9.965651085E0
1.380657250E0,-6.119274902E-1,-1.370549927E0,9.735305328E0,9.850331578E0
1.390718250E0,-5.315446472E-1,-1.507365417E0,9.852062531E0,9.980873024E0
1.400779250E0,-6.918612671E-1,-1.573228455E0,9.847571869E0,9.996418934E0
1.410840250E0,-8.955876160E-1,-1.617236938E0,9.856253815E0,1.002812404E1
1.420900250E0,-5.547463989E-1,-1.400637360E0,9.882000275E0,9.996172168E0
1.430961250E0,-2.185455322E-2,-1.431922302E0,9.881251831E0,9.984488813E0
1.441022250E0,-2.275268555E-2,-1.537752228E0,9.683063965E0,9.804434066E0
1.451083250E0,-1.808239746E-1,-1.683848419E0,9.816735992E0,9.961744243E0
1.461143250E0,-1.775308228E-1,-1.649719391E0,9.932894440E0,1.007052547E1
1.471204250E0,-6.451583862E-1,-1.258433075E0,9.777667236E0,9.879405839E0
1.481265250E0,-1.248553619E0,-7.812254333E-1,9.876012726E0,9.985230427E0
1.491325250E0,-1.312171326E0,-9.148974609E-1,9.746232605E0,9.876633077E0
1.501386250E0,-7.970924377E-1,-1.201102295E0,9.795629883E0,9.901129626E0
1.511447250E0,-5.953120422E-1,-6.914122009E-1,9.793085175E0,9.835495132E0
1.521508250E0,-4.096980286E-1,-5.421725464E-1,9.778415680E0,9.802000651E0
1.531568708E0,-2.752775574E-1,-7.918533325E-1,9.887838135E0,9.923313580E0
1.541629708E0,-5.069956970E-1,-1.172511749E0,9.814640350E0,9.897423586E0
1.551690708E0,-5.462141418E-1,-1.196012878E0,9.725276184E0,9.813755324E0
1.561751708E0,-1.270857239E-1,-9.716294861E-1,9.892628174E0,9.941041536E0
1.571811708E0,-1.796264648E-2,-9.848020935E-1,9.783804474E0,9.833259267E0
1.581872708E0,-1.333726501E-1,-3.212319946E-1,9.826016693E0,9.832170783E0
1.591933708E0,-4.668791199E-1,-1.026864624E-1,9.670939178E0,9.682746781E0
1.601994708E0,-5.725593567E-1,-3.926335144E-1,1.004096970E1,1.006494201E1
1.612054708E0,-4.379891968E-1,-7.557783508E-1,9.655820618E0,9.695251789E0
1.622115708E0,-6.417155457E-1,-1.104553070E0,9.839488678E0,9.922064995E0
1.632176708E0,-4.695735168E-1,-7.969427490E-1,9.744735718E0,9.788538770E0
1.642237708E0,-8.741821289E-2,-6.033952332E-1,9.828411713E0,9.847304430E0
1.652297708E0,9.400451660E-2,-4.104464722E-1,9.803862762E0,9.812901111E0
1.662358708E0,2.989283752E-1,-1.380130005E-1,9.875563660E0,9.881050721E0
1.672419708E0,3.233276367E-1,1.767823792E-1,9.807006226E0,9.813927037E0
1.682480708E0,3.008743286E-1,1.501377869E-1,9.797276459E0,9.803045074E0
