Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.1492602500,-1.7329463200,-1.2822335820,0.2930905200,10.3305209900
1.1593212500,-1.6458274840,-1.2596305850,-0.3441343690,9.6900995590
1.1693822500,-2.4225622560,-1.8779946900,0.3486250300,10.6110006300
1.1794422500,-3.0231134030,-2.0239411930,-0.0342787170,10.4307372300
1.1895032500,-2.5231530760,-2.0341200260,0.0333805850,10.3632083400
1.1995642500,-1.6052618410,-2.1092637630,0.0880169680,10.2467848200
1.2096252500,-1.1320957950,-1.6025674440,-0.1317260740,9.8751632640
1.2196852500,-1.0159373470,-1.1235635380,0.1354682920,10.0601621900
1.2297462500,-0.8268804932,-0.6966513062,-0.0238005070,9.8457480630
1.2398072500,-0.7173083496,-0.7384144592,0.0646655270,9.9281824350
1.2498682500,-1.1305989070,-1.6645385740,0.0375718690,10.0510504100
1.2599282500,-1.5441888430,-2.2662872310,0.0384700010,10.2231569700
1.2699892500,-1.7124389650,-1.6045133970,0.0306861880,10.1166207300
1.2800502500,-1.8279986570,-0.7264393616,-0.0004490660,10.0048279700
1.2901112500,-1.3352233890,-0.8690927124,0.1588197330,10.0953212200
1.3001712500,-0.8457412720,-1.2445120240,-0.1847158810,9.7421857320
1.3102322500,-0.3254232788,-1.2801379390,-0.0800834660,9.8191613300
1.3202932500,0.0089813232,-1.6530125430,-0.0157173160,9.9327994260
1.3303542500,-0.3879931641,-2.0234921260,0.0127235410,10.0364813000
1.3404142500,-0.9292675781,-1.9719992070,0.0230520630,10.0718038100
1.3504752500,-1.0843450930,-1.5316149900,0.0004490660,9.9883211620
1.3605362500,-1.1975097660,-1.0734178160,0.0175135800,9.9582266800
1.3705972500,-0.8084687805,-1.2211605830,0.0474513240,9.9656510850
1.3806572500,-0.6119274902,-1.3705499270,-0.0746946720,9.8503315780
1.3907182500,-0.5315446472,-1.5073654170,0.0420625310,9.9808730240
1.4007792500,-0.6918612671,-1.5732284550,0.0375718690,9.9964189340
1.4108402500,-0.8955876160,-1.6172369380,0.0462538150,10.0281240400
1.4209002500,-0.5547463989,-1.4006373600,0.0720002750,9.9961721680
1.4309612500,-0.0218545532,-1.4319223020,0.0712518310,9.9844888130
1.4410222500,-0.0227526855,-1.5377522280,-0.1269360350,9.8044340660
1.4510832500,-0.1808239746,-1.6838484190,0.0067359920,9.9617442430
1.4611432500,-0.1775308228,-1.6497193910,0.1228944400,10.0705254700
1.4712042500,-0.6451583862,-1.2584330750,-0.0323327640,9.8794058390
1.4812652500,-1.2485536190,-0.7812254333,0.0660127260,9.9852304270
1.4913252500,-1.3121713260,-0.9148974609,-0.0637673950,9.8766330770
1.5013862500,-0.7970924377,-1.2011022950,-0.0143701170,9.9011296260
1.5114472500,-0.5953120422,-0.6914122009,-0.0169148250,9.8354951320
1.5215082500,-0.4096980286,-0.5421725464,-0.0315843200,9.8020006510
1.5315687080,-0.2752775574,-0.7918533325,0.0778381350,9.9233135800
1.5416297080,-0.5069956970,-1.1725117490,0.0046403500,9.8974235860
