Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
5.1534077080,0.0585282898,-0.0901126099,-0.0371228030,9.7734678880
5.1634387080,0.0737965393,-0.0841250610,-0.0443078610,9.7663332890
5.1734707080,0.0722996521,-0.0853225708,-0.0335302730,9.7771093630
5.1835007080,0.0757424927,-0.0734971619,-0.0154179380,9.7951506640
5.1935307080,0.0730480957,-0.0754431152,-0.0194595340,9.7911036310
5.2035607080,0.0708027649,-0.0712518311,-0.0285905460,9.7819252080
5.2135917080,0.0847238159,-0.0841250610,-0.0356259160,9.7751032680
5.2236227080,0.0775387573,-0.0800834656,-0.0499960330,9.7606405050
5.2336537080,0.0603245544,-0.0699046326,-0.0390687560,9.7713675130
5.2436847080,0.0483494568,-0.0817300415,-0.0122744750,9.7981856960
5.2537147080,0.0561332703,-0.0934057617,-0.0115260310,9.7990799410
5.2637457080,0.0696052551,-0.0860710144,-0.0200582890,9.7905674920
5.2737757080,0.0631686401,-0.0893641663,-0.0282911680,9.7823209870
5.2838077080,0.0646655273,-0.0754431152,-0.0278421020,9.7826625430
5.2938377080,0.0654139709,-0.0712518311,-0.0235011290,9.7869768550
5.3038687080,0.0314346313,-0.0785865784,-0.0384700010,9.7718965660
5.3138997080,0.0559835815,-0.0895138550,-0.0371228030,9.7734474780
5.3239307080,0.0585282898,-0.0733474731,-0.0309855650,9.7794646440
5.3339617080,0.0514929199,-0.0785865784,-0.0487985230,9.7616536330
5.3439927080,0.0386196899,-0.0766406250,-0.0272433470,9.7831330870
5.3540237080,0.0456550598,-0.0788859558,-0.0278421020,9.7825825080
5.3640537080,0.0615220642,-0.0742456055,-0.0196092220,9.7908655870
5.3740847080,0.0764909363,-0.0817300415,-0.0166154480,9.7940242830
5.3841147080,0.0859213257,-0.0898132324,-0.0360749820,9.7747152980
5.3941447080,0.0685574341,-0.0944535828,-0.0124241640,9.7982709630
5.4041757080,0.0841250610,-0.0790356445,-0.0395178220,9.7711639860
5.4142067080,0.0666114807,-0.0866697693,-0.0344284060,9.7761827280
5.4242377080,0.0519419861,-0.0895138550,-0.0220042420,9.7885428770
5.4342687080,0.0712518311,-0.0796343994,-0.0299377440,9.7806460010
5.4442997080,0.0571810913,-0.0687071228,-0.0348774720,9.7755312280
5.4543307080,0.0549357605,-0.0754431152,-0.0318836980,9.7785616540
5.4643617080,0.0675096130,-0.0977467346,-0.0499960330,9.7607268900
5.4743927080,0.0734971619,-0.0685574341,-0.0425115970,9.7680055110
5.4844237080,0.0510438538,-0.0835263061,-0.0143701170,9.7961189720
5.4944547080,0.0669108582,-0.0835263061,-0.0062869260,9.8042972080
5.5044857080,0.0510438538,-0.0779878235,-0.0386196900,9.7718248420
5.5145167080,0.0538879394,-0.0685574341,-0.0715512080,9.7388391970
5.5245487080,0.0630189514,-0.0725990295,-0.0238005070,9.7866716780
5.5345807080,0.0484991455,-0.0688568115,-0.0131726070,9.7971894130
5.5446127080,0.0583786011,-0.0745449829,-0.0390687560,9.7713899930
5.5546447080,0.0627195740,-0.0718505859,-0.0523910520,9.7580750470
5.5646757080,0.0604742432,-0.0787362671,-0.0420625310,9.7684419920
5.5747077080,0.0631686401,-0.0889151001,-0.0252973940,9.7853104840
5.5847397080,0.0574804687,-0.0883163452,-0.0287402340,9.7818273540
5.5947717080,0.0700543213,-0.0829275513,-0.0441581730,9.7664451660
5.6048027080,0.0601748657,-0.0841250610,-0.0416134640,9.7689341050
5.6148347080,0.0612226868,-0.0959504700,-0.0209564210,9.7897052510
5.6248657080,0.0821791077,-0.0862207031,-0.0267942810,9.7839307820
5.6348967080,0.0734971619,-0.0863703919,-0.0043409730,9.8063148340
5.6449287080,0.0678089905,-0.0868194580,-0.0362246700,9.7743961380
5.6549597080,0.0703536987,-0.0658630371,-0.0383203120,9.7721549060
5.6649917080,0.0697549439,-0.0959504700,-0.0300874330,9.7806319870
5.6750237080,0.0621208191,-0.0604742432,-0.0202079770,9.7901758910
5.6850547080,0.0520916748,-0.0835263061,-0.0363743590,9.7741213600
5.6950857080,0.0470022583,-0.0761915588,-0.0537382510,9.7566724700
5.7051177080,0.0660127258,-0.0797840881,-0.0371228030,9.7734258010
5.7151497080,0.0643661499,-0.0731977844,-0.0279917910,9.7824938290
5.7251817080,0.0511935425,-0.0820294190,-0.0158670040,9.7946102900
5.7352127080,0.0847238159,-0.0880169678,-0.0074844360,9.8032768240
5.7452447080,0.0803828430,-0.0854722595,-0.0221539310,9.7885493100
5.7552767080,0.0658630371,-0.0818797302,-0.0263452150,9.7842190890
5.7653077080,0.0746946716,-0.0784368896,-0.0318836980,9.7787161770
5.7753397080,0.0669108582,-0.0859213257,-0.0287402340,9.7818659850
5.7853707080,0.0699046326,-0.0889151001,-0.0431103520,9.7675445200
5.7954027080,0.0709524536,-0.0712518311,-0.0327818300,9.7777352300
5.8054347080,0.0773890686,-0.0966989136,-0.0173638920,9.7934193060
5.8154657080,0.0444575501,-0.1053808594,-0.0252973940,9.7853710550
5.8254977080,0.0595761108,-0.1014889526,-0.0413140870,9.7693947500
5.8355287080,0.0755928040,-0.0925076294,-0.0314346310,9.7792950970
5.8455607080,0.0785865784,-0.0829275513,-0.0230520630,9.7876147630
5.8555927080,0.0733474731,-0.0929566956,-0.0217048650,9.7890113120
5.8656247080,0.0583786011,-0.0821791077,-0.0428109740,9.7677091960
5.8756567080,0.0580792236,-0.0865200806,-0.0363743590,9.7741811470
5.8856887080,0.0694555664,-0.0749940491,-0.0200582890,9.7904753150
5.8957207080,0.0547860718,-0.0890647888,-0.0276924130,9.7828664390
5.9057517080,0.0372724915,-0.0696052551,-0.0308358760,9.7794828640
5.9157837080,0.0648152161,-0.0800834656,-0.0359252930,9.7746176780
5.9258190000,0.0532891846,-0.0730480957,-0.0327818300,9.7776362640
5.9358510000,0.0613723755,-0.0821791077,-0.0323327640,9.7782051810
5.9458820000,0.0607736206,-0.0811312866,-0.0248483280,9.7856767250
5.9559140000,0.0706530762,-0.0956510925,-0.0229023740,9.7878200290
5.9659450000,0.0682580566,-0.0829275513,-0.0285905460,9.7819991340
5.9759760000,0.0880169678,-0.0658630371,-0.0348774720,9.7757406560
5.9860070000,0.0673599243,-0.0809815979,-0.0414637760,9.7691041220
5.9960380000,0.0502954102,-0.0805325317,-0.0345780940,9.7758830060
6.0060700000,0.0603245544,-0.0853225708,-0.0309855650,9.7795727060
6.0161010000,0.0567320251,-0.0910107422,-0.0396675110,9.7709210630
6.0261330000,0.0555345154,-0.1005908203,-0.0095800780,9.8010934720
6.0361660000,0.0703536987,-0.0929566956,-0.0242495730,9.7864448100
6.0461990000,0.0832269287,-0.0881666565,-0.0267942810,9.7839569820
6.0562310000,0.0848735046,-0.0878672790,-0.0473016360,9.7634626810
6.0662640000,0.0736468506,-0.0797840881,-0.0435594180,9.7670441280
6.0762970000,0.0627195740,-0.0731977844,-0.0136216740,9.7968525550
6.0863290000,0.0531394959,-0.0636177063,-0.0245489500,9.7858021270
6.0963610000,0.0381706238,-0.0821791077,-0.0459544370,9.7644659940
6.1063930000,0.0443078613,-0.0739462280,-0.0199086000,9.7904709210
6.1164260000,0.0440084839,-0.0724493408,-0.0401165770,9.7702511610
6.1264570000,0.0664617920,-0.0775387573,-0.0350271610,9.7755063010
6.1364890000,0.0471519470,-0.0875679016,-0.0235011290,9.7870042200
6.1465190000,0.0642164612,-0.0934057617,-0.0113763430,9.7992792570
6.1565500000,0.0696052551,-0.0913101196,-0.0365240480,9.7741503270
6.1665820000,0.0568817139,-0.0772393799,-0.0362246700,9.7742460400
6.1766140000,0.0544866943,-0.0833766174,-0.0338296510,9.7766777160
6.1866450000,0.0600251770,-0.0910107422,-0.0320333860,9.7785743890
6.1966760000,0.0580792236,-0.0998423767,-0.0344284060,9.7762539700
6.2067080000,0.0426612854,-0.1092727661,-0.0303868100,9.7803166950
6.2167410000,0.0649649048,-0.0975970459,-0.0344284060,9.7762746290
6.2267730000,0.0655636597,-0.0913101196,-0.0348774720,9.7757688480
6.2368060000,0.0720002747,-0.0910107422,-0.0146694950,9.7960179000
6.2468370000,0.0731977844,-0.0889151001,-0.0220042420,9.7886732900
6.2568690000,0.0847238159,-0.0761915588,-0.0399668880,9.7706975330
6.2669000000,0.0778381348,-0.0886157227,-0.0437091060,9.7670030890
6.2769320000,0.0604742432,-0.0764909363,-0.0353265380,9.7751598090
6.2869630000,0.0630189514,-0.0800834656,-0.0220042420,9.7885262280
6.2969950000,0.0492475891,-0.0773890686,-0.0196092220,9.7908204950
6.3070260000,0.0453556824,-0.0800834656,-0.0438587950,9.7665748620
6.3170580000,0.0585282898,-0.0776884460,-0.0356259160,9.7748580450
6.3270900000,0.0504450989,-0.0920585632,-0.0422122190,9.7683518370
6.3371220000,0.0582289124,-0.0830772400,-0.0342787170,9.7762476970
6.3471540000,0.0492475891,-0.0703536987,-0.0260458370,9.7843310460
6.3571850000,0.0443078613,-0.0736468506,-0.0261955260,9.7841819810
6.3672180000,0.0529898071,-0.0839753723,-0.0357756040,9.7747287590
6.3772500000,0.0321830750,-0.0808319092,-0.0408650210,9.7695223930
6.3872830000,0.0467028809,-0.1008901978,-0.0315843200,9.7790476630
6.3973150000,0.0516426086,-0.0862207031,-0.0115260310,9.7989893910
6.4073460000,0.0568817139,-0.0854722595,-0.0191601560,9.7913781400
6.4173770000,0.0648152161,-0.0947529602,-0.0300874330,9.7805863300
6.4274090000,0.0622705078,-0.0886157227,-0.0381706240,9.7724295710
