"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.125529083E0,6.242019653E-2,-9.071136475E-2,9.780960388E0,9.781580187E0
1.135593083E0,6.765930176E-2,-8.652008057E-2,9.785900116E0,9.786516468E0
1.145657083E0,6.376739502E-2,-1.035845947E-1,9.797875214E0,9.798630249E0
1.155722083E0,5.328918457E-2,-7.933502197E-2,9.794582062E0,9.795048318E0
1.165786083E0,6.990463257E-2,-7.125183105E-2,9.781858521E0,9.782367791E0
1.175850083E0,7.484436035E-2,-6.406677246E-2,9.775870972E0,9.776367397E0
1.185915083E0,5.523513794E-2,-6.227050781E-2,9.811347198E0,9.811700280E0
1.195979083E0,7.574249268E-2,-5.942642212E-2,9.799970856E0,9.800443725E0
1.206043083E0,6.406677246E-2,-7.140151978E-2,9.777218170E0,9.777688780E0
1.216107083E0,7.544311523E-2,-8.532257080E-2,9.777218170E0,9.777881506E0
1.226172083E0,7.454498291E-2,-7.963439941E-2,9.786648560E0,9.787256440E0
1.236236083E0,7.918533325E-2,-9.011260986E-2,9.788444824E0,9.789179878E0
1.246300083E0,5.628295898E-2,-9.310638428E-2,9.777667236E0,9.778272504E0
1.256365083E0,6.421646118E-2,-7.634124756E-2,9.785900116E0,9.786408576E0
1.266429083E0,7.110214233E-2,-8.367599487E-2,9.783056030E0,9.783672239E0
1.276493083E0,5.074447632E-2,-8.442443848E-2,9.776469727E0,9.776965930E0
1.286557083E0,5.523513794E-2,-8.711883545E-2,9.776170349E0,9.776714546E0
1.296622083E0,6.212081909E-2,-8.726852417E-2,9.797276459E0,9.797862053E0
1.306686083E0,5.224136353E-2,-8.936416626E-2,9.772727509E0,9.773275708E0
1.316750083E0,5.748046875E-2,-9.041198730E-2,9.772128754E0,9.772716035E0
1.326815083E0,6.975494385E-2,-7.589218140E-2,9.790540466E0,9.791083086E0
1.336879083E0,6.376739502E-2,-8.786727905E-2,9.774224396E0,9.774827337E0
1.346943083E0,5.628295898E-2,-9.595046997E-2,9.776170349E0,9.776803208E0
1.357007083E0,6.750961304E-2,-8.098159790E-2,9.777218170E0,9.777786596E0
1.367072083E0,6.631210327E-2,-7.170089722E-2,9.777218170E0,9.777705941E0
1.377136083E0,6.242019653E-2,-8.098159790E-2,9.762099609E0,9.762635048E0
1.387200083E0,7.858657837E-2,-8.038284302E-2,9.773775330E0,9.774421796E0
1.397265083E0,8.756790161E-2,-8.517288208E-2,9.784103851E0,9.784866414E0
1.407329083E0,8.532257080E-2,-8.232879639E-2,9.792935486E0,9.793653220E0
1.417393083E0,7.783813477E-2,-8.637039185E-2,9.791887665E0,9.792577937E0
1.427457083E0,6.406677246E-2,-7.708969116E-2,9.787397003E0,9.787910271E0
1.437522083E0,6.496490479E-2,-7.993377686E-2,9.774374084E0,9.774916807E0
1.447586083E0,4.056564331E-2,-8.158035278E-2,9.778565369E0,9.778989804E0
1.457650083E0,3.502716064E-2,-9.175918579E-2,9.788594513E0,9.789087250E0
1.467714083E0,6.691085815E-2,-9.415420532E-2,9.785900116E0,9.786581791E0
1.477779083E0,4.490661621E-2,-7.454498291E-2,9.778565369E0,9.778952614E0
1.487843083E0,5.194198608E-2,-8.038284302E-2,9.782157898E0,9.782626054E0
1.497907083E0,5.882766724E-2,-7.679031372E-2,9.799372101E0,9.799849541E0
1.507972083E0,6.930587769E-2,-7.244934082E-2,9.795480194E0,9.795993285E0
1.518036083E0,6.960525513E-2,-8.307723999E-2,9.777816925E0,9.778417589E0
1.528100083E0,7.259902954E-2,-9.370513916E-2,9.785001984E0,9.785719958E0
1.538164083E0,7.649093628E-2,-8.891510010E-2,9.786498871E0,9.787201689E0
1.548229083E0,6.511459351E-2,-1.028361511E-1,9.796078949E0,9.796835099E0
1.558293083E0,7.020401001E-2,-8.487350464E-2,9.777816925E0,9.778437295E0
1.568357083E0,7.095245361E-2,-6.646179199E-2,9.771979065E0,9.772462651E0
1.578422083E0,5.388793945E-2,-8.801696777E-2,9.767189026E0,9.767734249E0
1.588486083E0,7.484436035E-2,-7.259902954E-2,9.791588287E0,9.792143457E0
1.598550083E0,4.894821167E-2,-7.858657837E-2,9.790241089E0,9.790678851E0
1.608614083E0,5.688171387E-2,-7.005432129E-2,9.777068481E0,9.777484913E0
1.618679083E0,7.873626709E-2,-7.873626709E-2,9.785151672E0,9.785785204E0
1.628743083E0,4.805007935E-2,-9.400451660E-2,9.786349182E0,9.786918615E0
1.638807083E0,5.059478760E-2,-9.580078125E-2,9.792486420E0,9.793085719E0
1.648871083E0,5.912704468E-2,-9.475296021E-2,9.784552917E0,9.785190337E0
1.658936083E0,5.343887329E-2,-8.307723999E-2,9.783205719E0,9.783704395E0
1.669000083E0,5.837860107E-2,-8.681945801E-2,9.790989532E0,9.791548483E0
1.679064083E0,6.795867920E-2,-8.038284302E-2,9.780511322E0,9.781077727E0
1.689129083E0,6.361770630E-2,-7.065307617E-2,9.795629883E0,9.796091255E0
1.699193083E0,5.089416504E-2,-7.813751221E-2,9.777667236E0,9.778111897E0
1.709257083E0,6.661148071E-2,-8.831634521E-2,9.774673462E0,9.775299389E0
1.719321083E0,5.553451538E-2,-8.337661743E-2,9.777517548E0,9.778030739E0
1.729386083E0,7.170089722E-2,-8.906478882E-2,9.789043579E0,9.789711321E0
1.739450083E0,6.062393188E-2,-8.981323242E-2,9.790091400E0,9.790691053E0
1.749514083E0,6.616241455E-2,-8.098159790E-2,9.766141205E0,9.766701056E0
1.759579083E0,7.005432129E-2,-8.996292114E-2,9.775122528E0,9.775787507E0
1.769643083E0,9.445358276E-2,-7.244934082E-2,9.799222412E0,9.799945422E0
1.779707083E0,4.715194702E-2,-8.098159790E-2,9.774972839E0,9.775422003E0
1.789771083E0,5.673202515E-2,-6.810836792E-2,9.774074707E0,9.774476643E0
